Device,Max Clients,Unique Clients,Building
MSB 212 Hallway,0,0,Marine Science Building
MSB 100 DH Mauka,2,3,Marine Science Building
MSB 626 Hallway,6,8,Marine Science Building
MSB 603 Hallway,2,4,Marine Science Building
MSB 631 Hallway,2,3,Marine Science Building
MSB 205,4,8,Marine Science Building
MSB 315,0,0,Marine Science Building
MSB 522 Hallway,1,1,Marine Science Building
Art 127 Tempo,0,1,Art
Art 103,0,1,Art
MSB 405,2,4,Marine Science Building
MSB 100 Ewa Makai,0,0,Marine Science Building
MSB 114 DH Mauka,0,0,Marine Science Building
Art 331,0,2,Art
MSB 211,2,8,Marine Science Building
MSB 411 Hallway,8,10,Marine Science Building
Art 330,0,0,Art
MSB 519 Hallway,0,0,Marine Science Building
Art 132 Mauka DH,1,1,Art
MSB 430 Hallway,3,3,Marine Science Building
MSB 425 Hallway,1,1,Marine Science Building
MSB 305 Hallway,0,3,Marine Science Building
MSB 316,1,1,Marine Science Building
Art 101 Ewa,2,18,Art
MSB 606 Hallway,3,3,Marine Science Building
MSB 110,0,0,Marine Science Building
Art 207,0,0,Art
MSB 500A,4,4,Marine Science Building
MSB 314,0,0,Marine Science Building
MSB 401 Hallway,1,6,Marine Science Building
MSB 108,0,0,Marine Science Building
MSB 528 Hallway,0,0,Marine Science Building
Art 341,0,0,Art
Art 337,0,0,Art
MSB 419 Hallway,0,3,Marine Science Building
Art 350,3,11,Art
MSB 200,2,4,Marine Science Building
MSB 404,3,3,Marine Science Building
Art 365,0,0,Art
Art 343,2,10,Art
Art 302,0,4,Art
MSB 107,2,2,Marine Science Building
Art 363,0,0,Art
MSB 218 Hallway,2,3,Marine Science Building
MSB 207 Hallway,0,0,Marine Science Building
MSB 633 Hallway,0,1,Marine Science Building
MSB 203,1,1,Marine Science Building
MSB 515 Hallway,0,0,Marine Science Building
MSB 325 Hallway,1,1,Marine Science Building
MSB 604,0,0,Marine Science Building
MSB 322 Hallway,0,0,Marine Science Building
MSB 612 Hallway,3,5,Marine Science Building
MSB 205C Hallway,1,1,Marine Science Building
Art 143,4,30,Art
Art 121,1,1,Art
Art 119,1,5,Art
Art 142,3,24,Art
Art 325,1,6,Art
Art 101,0,2,Art
